Modelo,Fabricante,Polegadas,Tipos de entradas,Estoque Atual
19TRS-XIE-V,Tronos,19,VGA,0
LS1922wA,Lenovo,19,VGA,0
W1946PW,Positivo,18.5,VGA e DVI-D,0
P2217H,Dell,22,USB; VGA; HDMI; DisplayPort,0
1908FP,Dell,19,VGA e DVI-D,0
MLE 1950W,STI,,,0
L1953H,LG,19,VGA e DVI-D,0
P2314H,Dell,23,USB; VGA; HDMI; DisplayPort,0
P2414H,Dell,24,VGA e DVI-D,0
P2319H,Dell,23,DisplayPort; HDMI; VGA,0
P2317H,Dell,23,DisplayPort; HDMI; VGA,0
2208WFPt,Dell,22,VGA e DVI-D,0
HSTND-7091-A,HP,21.5,VGA e HDMI,0
L200hx,HP,20,VGA e DVI-D,0
